Дата аукциона,Код  выпуска,Тип бумаги,Дата погашения,Дней до погашения,Объем предложения,Цена отсечения,Цена средневзвешенная,Доходность по цене отсечения,Доходность по средневзве- шенной цене,Совокупный объем спроса по номиналу,Объем размещения по номиналу,Объем выручки,Коэффициент активности,Коэффициент размещения на аукционе,source_file,Доходность по цене отсечения*,Доходность по средневзве- шенной цене*,Тип бумаги*,Доходность по цене отсечения**,Доходность по средневзве- шенной цене**,Коэффициент удовлетворения спроса на аукционе,Дата,Формат*,Тип бумаги**,Доходность по цене отсечения***,Доходность по средневзве- шенной цене***
,,,,,,,,,,,,,,,ofz_2015.xlsx,,,,,,,,,,,
1970-01-01 00:00:00.000000001,2,3,1970-01-01 00:00:00.000000004,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,ofz_2015.xlsx,,,,,,,,,,,
2015-01-21 00:00:00.000000000,25082RMFS,ОФЗ-ПД,2016-05-11 00:00:00.000000000,476.0,5000.0,89.9,89.9514,15.32,15.27,8179.172,1113.159,1014.11420481,1.6358344,0.2226318,ofz_2015.xlsx,,,,,,,,,,,
2015-01-28 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,1064.0,5000.0,92.2,95.9602,14.77,12.99,4757.379,2508.393,2407.05832999,0.9514758,0.5016786,ofz_2015.xlsx,,,,,,,,,,,
2015-02-04 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,1057.0,10000.0,93.9,94.0607,13.97,13.89,20605.945,7340.64,6920.00262208,2.0605945,0.734064,ofz_2015.xlsx,,,,,,,,,,,
2015-02-11 00:00:00.000000000,26216RMFS,ОФЗ-ПД,2019-05-15 00:00:00.000000000,1554.0,5000.0,78.9,78.9868,13.79,13.76,20360.027,4874.163,3925.10697394,4.0720054,0.9748326,ofz_2015.xlsx,,,,,,,,,,,
2015-02-11 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,1050.0,15000.0,94.0,94.0536,13.93,13.91,30296.127,14999.995,14170.7313291,2.0197418,0.99999966666667,ofz_2015.xlsx,,,,,,,,,,,
2015-02-18 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1806.0,10000.0,93.4,93.5923,13.38,13.32,32899.39,10000.0,9423.226625,3.289939,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-02-18 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,3101.0,5000.0,75.288,75.3386,12.0,11.99,16152.591,5000.0,3934.7318,3.2305182,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-02-25 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1799.0,10000.0,92.95,93.0462,13.53,13.5,25603.197,9999.996,9389.91495402,2.5603197,0.9999996,ofz_2015.xlsx,,,,,,,,,,,
2015-03-04 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1792.0,15000.0,92.9,93.0722,13.55,13.49,15336.146,12990.815,12229.31345133,1.0224097333333,0.86605433333333,ofz_2015.xlsx,,,,,,,,,,,
2015-03-11 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3612.0,5000.0,85.0,86.6029,16.31,15.92,1731.3,850.0,744.3785,0.34626,0.17,ofz_2015.xlsx,,,,,,,,,,,
2015-03-11 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,1022.0,10000.0,94.86,94.9958,13.57,13.51,19554.411,9999.999,9624.88348493,1.9554411,0.9999999,ofz_2015.xlsx,,,,,,,,,,,
2015-03-18 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3605.0,5000.0,85.0,85.0992,16.31,16.28,4197.405,2354.505,2032.24888966,0.839481,0.470901,ofz_2015.xlsx,,,,,,,,,,,
2015-03-18 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1897.0,10000.0,74.5,74.5755,13.8,13.77,20048.095,5291.863,4043.8546144,2.0048095,0.5291863,ofz_2015.xlsx,,,,,,,,,,,
2015-03-25 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,1008.0,6172.88,95.31,95.3369,13.38,13.37,28969.764,6172.876,5988.17958519,4.6930709814544,0.99999935200425,ofz_2015.xlsx,,,,,,,,,,,
2015-03-25 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,3066.0,10000.0,73.89,73.9136,12.38,12.37,55052.077,9999.999,7445.05425573,5.5052077,0.9999999,ofz_2015.xlsx,,,,,,,,,,,
2015-04-01 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1764.0,15000.0,92.9,93.0951,13.57,13.51,7160.479,4679.346,4446.03937378,0.47736526666667,0.3119564,ofz_2015.xlsx,,,,,,,,,,,
2015-04-01 00:00:00.000000000,26212RMFS,ОФЗ-ПД,2028-01-19 00:00:00.000000000,4676.0,5000.0,70.751,70.8208,11.78,11.77,27905.279,5000.0,3595.139,5.5810558,1.0,ofz_2015.xlsx,,,,,,,,,,,
2015-04-08 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,3052.0,10000.0,77.15,77.3907,11.61,11.55,20301.629,9999.999,7819.56982596,2.0301629,0.9999999,ofz_2015.xlsx,,,,,,,,,,,
2015-04-08 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,994.0,15000.0,95.3,95.5681,13.41,13.28,27119.32,14999.998,14648.56075222,1.8079546666667,0.99999986666667,ofz_2015.xlsx,,,,,,,,,,,
2015-04-15 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,3045.0,15000.0,81.0,81.1073,10.74,10.72,46198.86,14999.998,12307.09605648,3.079924,0.99999986666667,ofz_2015.xlsx,,,,,,,,,,,
2015-04-15 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1750.0,15000.0,93.46,93.5765,13.4,13.37,30304.98,14999.996,14388.37381311,2.020332,0.99999973333333,ofz_2015.xlsx,,,,,,,,,,,
2015-04-22 00:00:00.000000000,26216RMFS,ОФЗ-ПД,2019-05-15 00:00:00.000000000,1484.0,10000.0,84.8866,85.0552,11.78,11.72,18054.687,9999.996,8788.21592373,1.8054687,0.9999996,ofz_2015.xlsx,,,,,,,,,,,
2015-04-22 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,980.0,15000.0,96.875,96.9799,12.66,12.61,35536.597,14999.99,14922.87948141,2.3691064666667,0.99999933333333,ofz_2015.xlsx,,,,,,,,,,,
2015-04-29 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,973.0,20000.0,97.75,97.8026,12.25,12.22,72305.675,19999.99,20103.51497619,3.61528375,0.9999995,ofz_2015.xlsx,,,,,,,,,,,
2015-05-06 00:00:00.000000000,26216RMFS,ОФЗ-ПД,2019-05-15 00:00:00.000000000,1470.0,15000.0,87.76,88.0179,10.78,10.69,27725.862,14999.996,13665.28044702,1.8483908,0.99999973333333,ofz_2015.xlsx,,,,,,,,,,,
2015-05-06 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3556.0,10000.0,95.06,96.6153,14.04,13.72,28971.161,9999.997,9952.92324724,2.8971161,0.9999997,ofz_2015.xlsx,,,,,,,,,,,
2015-05-13 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1722.0,15000.0,98.46,98.6273,11.87,11.82,33142.248,14999.996,15273.94754236,2.2094832,0.99999973333333,ofz_2015.xlsx,,,,,,,,,,,
2015-05-13 00:00:00.000000000,26214RMFS,ОФЗ-ПД,2020-05-27 00:00:00.000000000,1841.0,10000.0,83.67,83.7644,10.95,10.92,13557.6,4559.963,3948.35376645,1.35576,0.4559963,ofz_2015.xlsx,,,,,,,,,,,
2015-05-20 00:00:00.000000000,26212RMFS,ОФЗ-ПД,2028-01-19 00:00:00.000000000,4627.0,10000.0,77.15,77.2647,10.58,10.56,33276.03,9999.998,7929.26703416,3.327603,0.9999998,ofz_2015.xlsx,,,,,,,,,,,
2015-05-20 00:00:00.000000000,24018RMFS,ОФЗ-ПК,2017-12-27 00:00:00.000000000,952.0,10000.0,99.75,99.753,11.3,11.3,42500.408,9999.999,10309.49896908,4.2500408,0.9999999,ofz_2015.xlsx,,,,,,,,,,,
2015-05-27 00:00:00.000000000,26216RMFS,ОФЗ-ПД,2019-05-15 00:00:00.000000000,1449.0,10000.0,88.0,88.102,10.75,10.71,22888.011,9999.999,8823.09911871,2.2888011,0.9999999,ofz_2015.xlsx,,,,,,,,,,,
2015-05-27 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3535.0,10000.0,98.26,98.6255,13.39,13.32,28664.258,9999.995,10226.74003964,2.8664258,0.9999995,ofz_2015.xlsx,,,,,,,,,,,
2015-06-03 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1701.0,10000.0,98.7501,98.8233,11.79,11.77,31710.564,9999.992,10266.22523701,3.1710564,0.9999992,ofz_2015.xlsx,,,,,,,,,,,
2015-06-03 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3528.0,5000.0,98.8,98.8366,13.29,13.28,22884.536,3229.682,3317.58139529,4.5769072,0.6459364,ofz_2015.xlsx,,,,,,,,,,,
2015-06-10 00:00:00.000000000,26215RMFS,ОФЗ-ПД,2023-08-16 00:00:00.000000000,2989.0,5000.0,81.46,81.46,10.69,10.69,28396.519,4999.981,4173.63414013,5.6793038,0.9999962,ofz_2015.xlsx,,,,,,,,,,,
