date,term_days,demand_volume,placement_volume,cutoff_rate,avg_rate
2010-01-11,1,43187.44,43187.44,,6.07
2010-01-12,1,38736.74,33170.18,,6.06
2010-01-12,7,78127.64,78127.64,,6.08
2010-01-13,1,15577.16,15577.16,,6.07
2010-01-14,1,13570.51,9679.08,,6.09
2010-01-15,3,9124.68,9124.68,,6.1
2010-01-18,1,8433.48,8433.48,,6.06
2010-01-19,1,8060.73,8060.73,,6.05
2010-01-19,7,48845.31,48845.31,,6.07
2010-01-20,1,8468.84,8468.84,,6.07
2010-01-21,1,6067.34,6067.34,,6.06
2010-01-22,3,8757.98,8757.98,,6.11
2010-01-25,1,70009.42,70009.42,,6.47
2010-01-25,182,143.16,143.16,,8.05
2010-01-26,1,52397.98,52397.98,,6.13
2010-01-26,7,86322.9,86322.9,,6.15
2010-01-27,1,13258.37,13258.37,,6.14
2010-01-28,1,14367.82,14367.82,,6.18
2010-01-29,3,14445.13,14445.13,,6.14
2010-02-01,1,14930.1,14930.1,,6.11
2010-02-02,7,24144.85,24144.85,,6.09
2010-02-02,1,13468.56,13468.56,,6.12
2010-02-03,1,91.62,91.62,,6.08
2010-02-04,1,39653.04,39653.04,,6.08
2010-02-05,3,31466.56,31466.56,,6.08
2010-02-08,1,25213.68,21993.07,,6.08
2010-02-09,1,5865.34,5865.34,,6.11
2010-02-09,7,19122.34,19122.34,,6.06
2010-02-10,1,9953.17,9953.17,,6.11
2010-02-11,1,7834.43,7834.43,,6.12
2010-02-12,3,8589.39,8589.39,,6.13
2010-02-15,1,481.83,481.83,,6.22
2010-02-16,1,9420.31,9420.31,,6.15
2010-02-16,7,19622.46,19622.46,,6.08
2010-02-17,1,7662.88,7662.88,,6.16
2010-02-18,1,5881.76,5881.76,,6.15
2010-02-19,5,6265.75,6265.75,,6.15
2010-02-19,7,49482.82,49482.82,,6.05
2010-02-24,1,7306.12,7306.12,,5.88
2010-02-25,1,8764.11,8764.11,,5.87
2010-02-26,1,7933.2,7933.2,,5.86
2010-02-27,2,5409.61,5409.61,,5.84
2010-03-01,1,5281.06,5281.06,,5.83
2010-03-02,1,10279.86,9604.93,,5.87
2010-03-02,7,48410.49,48410.49,,5.86
2010-03-03,1,9907.5,9907.5,,5.9
2010-03-04,1,8194.26,8194.26,,5.9
2010-03-05,4,7501.39,7501.39,,5.91
2010-03-09,1,17302.81,11153.97,,5.91
2010-03-09,7,51386.61,43715.21,,5.92
2010-03-10,1,12815.98,12815.98,,5.91
2010-03-11,1,13045.38,13045.38,,5.92
2010-03-12,3,8360.73,8360.73,,5.95
2010-03-15,1,8633.07,8633.07,,5.94
2010-03-16,7,31860.33,31860.33,,5.94
2010-03-16,1,1004.89,1004.89,,5.89
2010-03-17,1,11536.01,4995.65,,5.99
2010-03-18,1,9448.53,9448.53,,6.0
2010-03-19,3,6392.33,6392.33,,5.98
2010-03-22,1,4416.46,4416.46,,5.94
2010-03-23,1,5063.55,5063.55,,5.94
2010-03-23,7,28104.98,28104.98,,5.93
2010-03-24,1,8232.73,8232.73,,5.94
2010-03-25,1,6816.72,6816.72,,5.96
2010-03-26,3,7024.78,7024.78,,5.94
2010-03-29,1,541.21,541.21,,5.67
2010-03-30,1,7431.6,7431.6,,5.75
2010-03-30,7,6747.98,6747.98,,5.76
2010-03-31,1,6388.21,6388.21,,5.72
2010-04-01,1,6580.71,6580.71,,5.69
2010-04-02,3,6137.72,6137.72,,5.67
2010-04-05,1,6679.43,6679.43,,5.66
2010-04-06,1,10546.82,9659.8,,5.7
2010-04-06,7,4585.32,4585.32,,5.63
2010-04-07,1,9688.59,9688.59,,5.7
2010-04-08,1,5703.51,5703.51,,5.69
2010-04-09,3,4336.99,4336.99,,5.7
2010-04-12,1,5370.11,5370.11,,5.7
2010-04-13,1,6011.58,6011.58,,5.71
2010-04-13,7,3677.84,3677.84,,5.59
2010-04-14,1,7924.62,7924.62,,5.66
2010-04-15,1,7047.02,7047.02,,5.66
2010-04-16,3,8220.11,8220.11,,5.67
2010-04-19,1,28073.46,24578.46,,5.72
2010-04-20,1,8163.19,8163.19,,5.73
2010-04-20,7,3814.84,3814.84,,5.62
2010-04-21,1,235.05,235.05,,5.92
2010-04-22,1,31736.84,31736.84,,5.75
2010-04-23,3,44125.87,34901.94,,5.76
2010-04-26,1,32008.96,32008.96,,5.76
2010-04-27,1,29676.41,29676.41,,5.76
2010-04-27,7,3560.04,3560.04,,5.62
2010-04-28,1,29745.57,29745.57,,5.77
2010-04-29,1,9123.84,9123.84,,5.87
2010-04-30,4,7382.06,7382.06,,5.74
2010-05-04,7,3928.4,3928.4,,5.35
2010-05-04,1,5640.7,5640.7,,5.56
2010-05-05,1,5890.47,5890.47,,5.49
2010-05-06,1,5157.94,5157.94,,5.47
2010-05-07,4,6099.73,6099.73,,5.49
2010-05-11,1,7899.12,7899.12,,5.53
2010-05-11,7,3882.11,3882.11,,5.34
2010-05-12,1,6469.28,6469.28,,5.49
2010-05-13,1,6293.27,6293.27,,5.47
2010-05-14,3,5629.26,5629.26,,5.45
2010-05-17,91,444.5,444.5,,6.75
2010-05-17,1,3313.74,3313.74,,5.44
2010-05-18,1,3319.21,3319.21,,5.38
2010-05-18,7,1619.61,1619.61,,5.29
2010-05-19,1,3132.59,3132.59,,5.38
2010-05-20,1,3621.46,3621.46,,5.33
2010-05-21,3,4108.39,4108.39,,5.33
2010-05-24,1,4048.9,4048.9,,5.31
2010-05-25,1,3803.88,3803.88,,5.31
2010-05-25,7,3102.21,3102.21,,5.28
2010-05-26,1,2918.25,2918.25,,5.3
2010-05-27,1,1271.64,1271.64,,5.3
2010-05-28,3,1270.78,1270.78,,5.31
2010-05-31,1,1256.08,1256.08,,5.3
2010-06-01,7,2244.28,2244.28,,5.11
2010-06-01,1,1666.92,1666.92,,5.13
2010-06-02,1,1343.53,1343.53,,5.12
2010-06-03,1,1419.38,1419.38,,5.07
2010-06-04,3,16001.43,16001.43,,5.06
2010-06-07,1,9354.14,9354.14,,5.05
2010-06-08,1,16337.24,16337.24,,5.04
2010-06-08,7,2258.57,2258.57,,5.06
2010-06-09,1,11059.54,11059.54,,5.04
2010-06-10,1,10586.55,10586.55,,5.03
2010-06-11,4,5671.05,5671.05,,5.03
2010-06-11,91,2100.0,2100.0,,6.5
2010-06-15,7,2280.76,2280.76,,5.28
2010-06-15,1,13261.88,7554.82,,5.07
2010-06-16,1,2468.52,2468.52,,5.1
2010-06-17,1,3018.05,3018.05,,5.09
2010-06-18,3,1278.98,1278.98,,5.07
2010-06-21,1,1023.77,1023.77,,5.07
2010-06-22,1,264.68,264.68,,5.07
2010-06-22,7,1085.37,1085.37,,5.04
2010-06-23,1,725.06,725.06,,5.08
2010-06-24,1,369.42,369.42,,5.07
2010-06-25,3,413.05,413.05,,5.1
2010-06-28,1,2939.45,2939.45,,5.19
2010-06-29,1,4810.02,4810.02,,5.16
2010-06-29,7,6773.85,6773.85,,5.11
2010-06-30,1,2686.47,2686.47,,5.09
2010-07-01,1,2288.62,2288.62,,5.09
2010-07-02,3,893.71,893.71,,5.07
2010-07-05,1,893.83,893.83,,5.07
2010-07-06,1,949.93,949.93,,5.07
2010-07-06,7,2278.72,2278.72,,5.11
2010-07-07,1,881.54,881.54,,5.07
2010-07-08,1,2073.51,2073.51,,5.08
2010-07-09,3,1037.14,1037.14,,5.08
2010-07-12,1,1003.79,1003.79,,5.07
2010-07-13,7,1928.68,1928.68,,5.08
2010-07-13,1,1062.24,1062.24,,5.07
2010-07-14,1,510.89,510.89,,5.06
2010-07-15,1,521.28,521.28,,5.06
2010-07-16,3,463.06,463.06,,5.07
2010-07-19,1,493.2,493.2,,5.07
2010-07-20,1,2225.04,2225.04,,5.09
2010-07-20,7,3729.84,3729.84,,5.16
2010-07-21,1,380.85,380.85,,5.06
2010-07-22,1,343.4,343.4,,5.08
2010-07-23,3,380.06,380.06,,5.08
2010-07-26,1,392.59,392.59,,5.07
2010-07-27,1,454.08,454.08,,5.06
2010-07-27,7,4265.34,4265.34,,5.14
2010-07-28,1,597.73,597.73,,5.04
2010-07-29,1,581.04,581.04,,5.03
2010-07-30,3,532.4,532.4,,5.04
2010-08-02,1,462.54,462.54,,5.03
2010-08-03,1,595.27,595.27,,5.03
2010-08-03,7,4205.09,4205.09,,5.1
2010-08-04,1,593.0,593.0,,5.03
2010-08-05,1,2063.89,2063.89,,5.09
2010-08-06,3,400.6,400.6,,5.02
2010-08-09,1,537.12,537.12,,5.02
